date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:16:01	137/137	---M-Z	200	added ('OK')	text/plain	etag:%22105-63177cee2da5d-gzip%22	https://g0dma0.tilda.ws/robots.txt		(from )
18:16:01	38680/38680	---M-Z	200	added ('OK')	text/html	etag:%229718-631785f5a239d-gzip%22	https://g0dma0.tilda.ws/	C:/My%20Websites/mypage/g0dma0.tilda.ws/index.html	(from )
18:16:02	1918/1918	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266f2bc2d-77e%22	https://neo.tildacdn.com/js/tilda-fallback-1.0.min.js	C:/My%20Websites/mypage/neo.tildacdn.com/js/tilda-fallback-1.0.min.js	(from https://g0dma0.tilda.ws/)
18:16:03	4514/4514	---MCZ	200	added ('OK')	text/css	etag:W/%2263f4be99-11a2%22	https://static.tildacdn.info/css/tilda-grid-3.0.min.css	C:/My%20Websites/mypage/static.tildacdn.info/css/tilda-grid-3.0.min.css	(from https://g0dma0.tilda.ws/)
18:16:04	12172/12172	---MCZ	200	added ('OK')	text/css	date:Sat,%2029%20Mar%202025%2010:08:45%20GMT	https://static.tildacdn.info/ws/project12625447/tilda-blocks-page65561001.min.css?t=1743242925	C:/My%20Websites/mypage/static.tildacdn.info/ws/project12625447/tilda-blocks-page65561001.min1b9e.css	(from https://g0dma0.tilda.ws/)
18:16:05	2776/2776	---MCZ	200	added ('OK')	text/css	etag:W/%2265ccbdf9-ad8%22	https://static.tildacdn.info/css/tilda-animation-2.0.min.css	C:/My%20Websites/mypage/static.tildacdn.info/css/tilda-animation-2.0.min.css	(from https://g0dma0.tilda.ws/)
18:16:06	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2029%20Mar%202025%2010:16:07%20GMT	https://chinese-fonts-cdn.deno.dev/packages/jhlst/dist/E4BAACE88FAFE88081E5AE8BE4BD93v2_002/result.css	C:/My%20Websites/mypage/chinese-fonts-cdn.deno.dev/packages/jhlst/dist/E4BAACE88FAFE88081E5AE8BE4BD93v2_002/result.4.delayed	(from https://g0dma0.tilda.ws/)
18:16:06	0/0	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Mar%202025%2010:16:07%20GMT	https://ik.imagekit.io/fonts121/packages/jhlst/dist/E4BAACE88FAFE88081E5AE8BE4BD93v2_002/result.css?t_3=1441	C:/My%20Websites/mypage/ik.imagekit.io/fonts121/packages/jhlst/dist/E4BAACE88FAFE88081E5AE8BE4BD93v2_002/result.5dd9d.delayed	(from https://g0dma0.tilda.ws/)
18:16:07	185608/185608	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267bdb45e-2d508%22	https://static.tildacdn.info/js/tilda-polyfill-1.0.min.js	C:/My%20Websites/mypage/static.tildacdn.info/js/tilda-polyfill-1.0.min.js	(from https://g0dma0.tilda.ws/)
18:16:07	21886/21886	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267d421db-557e%22	https://static.tildacdn.info/js/tilda-scripts-3.0.min.js	C:/My%20Websites/mypage/static.tildacdn.info/js/tilda-scripts-3.0.min.js	(from https://g0dma0.tilda.ws/)
